Evento_ID,Acción,Responsable,Estado,Acción_requerida,Tiempo_estimado
57,Ejecutar evento,Matthew Mccoy,En proceso,Reservar local,15
58,Comprar materiales,Zachary Doyle,En proceso,Decorar,30
59,Comprar materiales,Christian Clarke,Pendiente,Reservar local,82
60,Comprar materiales,Michele Collins DVM,Pendiente,Comprar materiales,18
61,Decorar,Joy Perez,En proceso,Decorar,44
62,Enviar invitaciones,Caroline Randall,Pendiente,Ejecutar evento,75
63,Reservar local,Nicholas White,Pendiente,Enviar invitaciones,47
64,Enviar invitaciones,Marc Hayes,En proceso,Decorar,36
65,Comprar materiales,Samuel Miller,Pendiente,Ejecutar evento,29
66,Ejecutar evento,Tina Wilson,En proceso,Reservar local,67
67,Decorar,Shannon Tran PhD,Finalizado,Enviar invitaciones,32
68,Ejecutar evento,James Fernandez,Finalizado,Enviar invitaciones,89
69,Ejecutar evento,Gary Vazquez,En proceso,Reservar local,33
70,Enviar invitaciones,David Wright,En proceso,Enviar invitaciones,69
71,Enviar invitaciones,Allison Mann,Pendiente,Enviar invitaciones,36
72,Reservar local,John Maynard,En proceso,Enviar invitaciones,79
73,Ejecutar evento,Heather Russell,En proceso,Reservar local,71
74,Comprar materiales,John Mcdonald,Pendiente,Comprar materiales,85
75,Decorar,Sara Gonzalez,Pendiente,Reservar local,50
76,Enviar invitaciones,Nicholas Jones,Finalizado,Reservar local,88
77,Reservar local,David Smith,Pendiente,Enviar invitaciones,82
78,Comprar materiales,Jennifer Donaldson,Pendiente,Decorar,41
79,Comprar materiales,Kenneth Watson,En proceso,Enviar invitaciones,25
80,Enviar invitaciones,Melissa Zamora,Pendiente,Reservar local,28
81,Ejecutar evento,Stephanie Campbell,Finalizado,Enviar invitaciones,21
82,Enviar invitaciones,Bruce Morris,En proceso,Ejecutar evento,68
83,Comprar materiales,Robert Rodriguez,En proceso,Decorar,26
84,Reservar local,Julie Jones,Pendiente,Ejecutar evento,17
85,Reservar local,Mary Jackson,Finalizado,Ejecutar evento,32
86,Decorar,Jill Ingram,Pendiente,Enviar invitaciones,64
87,Enviar invitaciones,Paul Jackson,Finalizado,Comprar materiales,15
88,Enviar invitaciones,Jaime Hickman,Finalizado,Ejecutar evento,51
89,Reservar local,Marc Miller,Finalizado,Enviar invitaciones,31
90,Comprar materiales,Judy Smith,En proceso,Decorar,34
91,Ejecutar evento,Andrea Baker,Finalizado,Comprar materiales,40
92,Comprar materiales,Megan Chapman,En proceso,Decorar,53
93,Reservar local,Lauren Wilson,Pendiente,Comprar materiales,46
94,Ejecutar evento,Christine Brown,Pendiente,Decorar,52
95,Enviar invitaciones,Jason Flores,Pendiente,Ejecutar evento,81
96,Reservar local,Dakota Williamson,En proceso,Decorar,76
97,Enviar invitaciones,Nicholas White,Pendiente,Decorar,66
98,Enviar invitaciones,Michele Chambers,En proceso,Comprar materiales,27
99,Comprar materiales,Julia Farley,Finalizado,Decorar,41
100,Ejecutar evento,Lisa Thomas,En proceso,Reservar local,21
101,Reservar local,Paige Sampson MD,En proceso,Reservar local,75
102,Reservar local,Samuel Barry,Finalizado,Decorar,87
103,Comprar materiales,Kevin Clark,Finalizado,Reservar local,33
104,Reservar local,Christina Fuller,Finalizado,Enviar invitaciones,44
105,Enviar invitaciones,Jason Murray,En proceso,Decorar,22
106,Ejecutar evento,Suzanne Fitzpatrick,Pendiente,Comprar materiales,18
107,Reservar local,Jamie Rodriguez,Finalizado,Reservar local,38
108,Decorar,Mary Jones,Pendiente,Enviar invitaciones,41
109,Comprar materiales,Regina Peterson,En proceso,Ejecutar evento,66
110,Decorar,Megan Mccall,En proceso,Comprar materiales,71
111,Decorar,Deborah Kelly,Finalizado,Decorar,24
112,Reservar local,Dawn Tucker,En proceso,Decorar,36
113,Decorar,Dean Gilbert,En proceso,Comprar materiales,17
114,Enviar invitaciones,Dana Welch,Finalizado,Comprar materiales,54
115,Reservar local,Ryan Mclean,En proceso,Ejecutar evento,88
116,Comprar materiales,Sara Flores,Pendiente,Ejecutar evento,24
117,Decorar,Nathaniel Taylor,Pendiente,Decorar,62
118,Comprar materiales,Jeremy Fletcher,En proceso,Enviar invitaciones,82
119,Ejecutar evento,Michael Jones,En proceso,Decorar,61
120,Comprar materiales,Janet Johnson,Pendiente,Ejecutar evento,34
121,Ejecutar evento,Paul Taylor,Finalizado,Comprar materiales,19
122,Reservar local,David Lee,Finalizado,Reservar local,55
123,Reservar local,Nicole Day,En proceso,Reservar local,71
124,Decorar,Philip Garza,Finalizado,Decorar,32
125,Enviar invitaciones,Bethany Lawson,Finalizado,Reservar local,50
126,Reservar local,Amanda Shah,Pendiente,Ejecutar evento,48
127,Enviar invitaciones,Jacob Conner,Pendiente,Enviar invitaciones,24
128,Reservar local,Joy George,Finalizado,Enviar invitaciones,82
129,Ejecutar evento,Jose Robinson,En proceso,Comprar materiales,28
130,Decorar,Kimberly Freeman,En proceso,Decorar,35
131,Comprar materiales,David Harris,En proceso,Enviar invitaciones,38
132,Reservar local,Sydney Mathews,En proceso,Reservar local,39
133,Enviar invitaciones,Denise Myers,Finalizado,Decorar,17
134,Enviar invitaciones,Michael Morris,Pendiente,Enviar invitaciones,29
135,Decorar,John Guzman,En proceso,Comprar materiales,30
136,Decorar,Ross Hunt,En proceso,Decorar,16
137,Comprar materiales,Dawn Castillo,En proceso,Ejecutar evento,53
138,Ejecutar evento,Colton Singleton,En proceso,Decorar,66
139,Enviar invitaciones,Kimberly Scott,Finalizado,Comprar materiales,80
140,Reservar local,Tracey Hamilton,En proceso,Decorar,42
141,Ejecutar evento,Paul Davis,En proceso,Reservar local,39
142,Enviar invitaciones,Charles Thomas,Pendiente,Reservar local,46
143,Enviar invitaciones,Steven Collier,Pendiente,Ejecutar evento,57
144,Enviar invitaciones,Michelle Robbins,En proceso,Comprar materiales,47
145,Comprar materiales,Charles Walter,En proceso,Enviar invitaciones,22
146,Enviar invitaciones,Guy Anderson,Pendiente,Comprar materiales,57
147,Comprar materiales,Sherry Holt,Pendiente,Reservar local,60
148,Enviar invitaciones,Katherine Baker,En proceso,Reservar local,71
149,Reservar local,Ricardo Brown,Finalizado,Reservar local,85
150,Decorar,Jodi Hanson,Pendiente,Enviar invitaciones,16
151,Enviar invitaciones,Wesley Jordan,En proceso,Ejecutar evento,23
152,Enviar invitaciones,Dana Nichols,Pendiente,Enviar invitaciones,56
153,Comprar materiales,Troy Frederick,En proceso,Ejecutar evento,75
154,Reservar local,Theresa Manning,En proceso,Enviar invitaciones,84
155,Decorar,Janice Smith,Pendiente,Decorar,26
156,Comprar materiales,Leah Gould,Pendiente,Enviar invitaciones,56
157,Ejecutar evento,Catherine Wood,Finalizado,Ejecutar evento,59
158,Enviar invitaciones,Michelle Clark,En proceso,Enviar invitaciones,48
159,Ejecutar evento,Todd Hernandez,Finalizado,Enviar invitaciones,44
160,Comprar materiales,Rebecca Hall,Finalizado,Reservar local,32
161,Reservar local,Brittney Santiago,Pendiente,Reservar local,27
162,Decorar,Billy Boyer,En proceso,Ejecutar evento,30
163,Ejecutar evento,Kyle Palmer,En proceso,Comprar materiales,30
164,Reservar local,Jessica Flores,Finalizado,Decorar,69
165,Ejecutar evento,Jennifer Anthony,Pendiente,Enviar invitaciones,24
166,Ejecutar evento,David Cunningham,Pendiente,Enviar invitaciones,73
167,Ejecutar evento,Andrew Shelton,En proceso,Comprar materiales,69
168,Reservar local,Kayla Cannon,En proceso,Comprar materiales,81
169,Enviar invitaciones,Melanie Bridges,Pendiente,Ejecutar evento,80
170,Decorar,Matthew Banks,En proceso,Comprar materiales,26
171,Enviar invitaciones,Louis Hogan,Pendiente,Comprar materiales,51
172,Enviar invitaciones,Elizabeth Wilcox,Pendiente,Ejecutar evento,87
173,Enviar invitaciones,Brianna Bowen,En proceso,Enviar invitaciones,56
174,Ejecutar evento,Teresa Gonzalez DDS,Pendiente,Enviar invitaciones,75
175,Enviar invitaciones,Mary Phillips,En proceso,Enviar invitaciones,34
176,Ejecutar evento,Lisa King,En proceso,Enviar invitaciones,84
177,Enviar invitaciones,William Cannon,Pendiente,Ejecutar evento,45
178,Decorar,Christopher Walsh,Pendiente,Reservar local,86
179,Decorar,Jennifer Conley,Pendiente,Decorar,27
180,Ejecutar evento,Dillon Jackson,En proceso,Ejecutar evento,82
181,Reservar local,Eric Schmitt,Pendiente,Ejecutar evento,30
182,Enviar invitaciones,Connie Romero,Finalizado,Comprar materiales,76
183,Enviar invitaciones,Mark Stokes,Finalizado,Comprar materiales,23
184,Enviar invitaciones,Taylor Mullins,En proceso,Decorar,63
185,Comprar materiales,Lori Brown,Finalizado,Reservar local,32
186,Enviar invitaciones,Keith Allen,Finalizado,Reservar local,81
187,Enviar invitaciones,Peter Scott,Pendiente,Enviar invitaciones,69
188,Decorar,Jeff Bailey,En proceso,Enviar invitaciones,64
189,Decorar,Daniel James,Finalizado,Reservar local,28
190,Reservar local,Tracy Wall,Finalizado,Enviar invitaciones,43
191,Reservar local,Joseph Kim,Finalizado,Comprar materiales,49
192,Ejecutar evento,Henry Santos,Pendiente,Reservar local,58
193,Ejecutar evento,Cody Perkins,Finalizado,Comprar materiales,48
194,Enviar invitaciones,Michael Sanchez,Finalizado,Enviar invitaciones,43
195,Decorar,Michelle Jackson,Finalizado,Decorar,83
196,Enviar invitaciones,William Tucker,En proceso,Reservar local,50
197,Reservar local,Edward Richardson,En proceso,Reservar local,18
198,Reservar local,Sarah Chavez,Pendiente,Enviar invitaciones,84
199,Decorar,Fred Brown,En proceso,Ejecutar evento,52
200,Reservar local,Amanda Atkins,En proceso,Comprar materiales,79
201,Comprar materiales,Sierra Nelson,En proceso,Enviar invitaciones,45
202,Comprar materiales,Natasha Herrera,Pendiente,Enviar invitaciones,30
203,Enviar invitaciones,Ronald Raymond,Pendiente,Reservar local,39
204,Enviar invitaciones,Abigail Jensen,Pendiente,Decorar,36
205,Ejecutar evento,Bethany Rosario,Pendiente,Decorar,52
206,Ejecutar evento,Ricky Olsen,En proceso,Comprar materiales,84
207,Ejecutar evento,Shelia Barajas,En proceso,Comprar materiales,67
208,Reservar local,Angela Bowman,En proceso,Comprar materiales,68
209,Decorar,Cheryl Avery,Finalizado,Decorar,18
210,Reservar local,Amanda Williams,Pendiente,Enviar invitaciones,75
211,Reservar local,Brittany Miller,En proceso,Comprar materiales,15
212,Ejecutar evento,Richard Hall,En proceso,Enviar invitaciones,35
213,Comprar materiales,Kimberly Waller,En proceso,Reservar local,35
214,Reservar local,Karla Lee,Pendiente,Reservar local,62
215,Comprar materiales,Thomas Scott,Finalizado,Enviar invitaciones,54
216,Reservar local,Mark Barker,Pendiente,Enviar invitaciones,71
217,Reservar local,Amanda Wright,Pendiente,Enviar invitaciones,63
218,Decorar,John Santana,Pendiente,Comprar materiales,50
219,Comprar materiales,Seth Escobar,En proceso,Decorar,53
220,Ejecutar evento,Chelsea Mccullough,Pendiente,Ejecutar evento,37
221,Comprar materiales,Robin Olsen,En proceso,Ejecutar evento,60
222,Enviar invitaciones,Todd Taylor,Pendiente,Ejecutar evento,89
223,Ejecutar evento,Sandra Gonzalez,Pendiente,Ejecutar evento,27
224,Ejecutar evento,John Bradley,En proceso,Decorar,48
225,Comprar materiales,Emily Bell,Finalizado,Decorar,56
226,Enviar invitaciones,Brianna Smith,Pendiente,Comprar materiales,84
227,Enviar invitaciones,Zachary Wilson,Finalizado,Enviar invitaciones,87
228,Decorar,Mr. Scott Villa PhD,En proceso,Reservar local,37
229,Reservar local,Kimberly Russell,Finalizado,Decorar,80
230,Ejecutar evento,Natalie King,Finalizado,Ejecutar evento,61
231,Decorar,Jake Skinner,En proceso,Comprar materiales,24
232,Decorar,Taylor Bowman,Pendiente,Ejecutar evento,81
233,Comprar materiales,Michael Greer,Pendiente,Decorar,75
234,Ejecutar evento,Jason Roberts,En proceso,Decorar,54
235,Decorar,Yolanda Perez,Finalizado,Decorar,76
236,Comprar materiales,Andrea Watson,Finalizado,Enviar invitaciones,21
237,Enviar invitaciones,Tommy Williams,En proceso,Comprar materiales,73
238,Decorar,Claudia Beck,Finalizado,Decorar,70
239,Decorar,Jose Smith,Finalizado,Comprar materiales,36
240,Decorar,Jennifer Johnson,En proceso,Reservar local,85
241,Reservar local,Andrew Turner,En proceso,Enviar invitaciones,17
242,Comprar materiales,James Manning,Pendiente,Enviar invitaciones,38
243,Decorar,Kayla Silva,Finalizado,Ejecutar evento,74
244,Decorar,Alexander Clark,Pendiente,Reservar local,40
245,Enviar invitaciones,Bruce Mccoy,Finalizado,Decorar,22
246,Ejecutar evento,Ricky Mcclain,En proceso,Enviar invitaciones,63
247,Ejecutar evento,Christina Harmon,En proceso,Decorar,35
248,Decorar,Donald Juarez,Pendiente,Reservar local,81
249,Reservar local,Jonathan Wall,Pendiente,Decorar,27
250,Reservar local,Jeffery Johnson,Finalizado,Ejecutar evento,85
251,Reservar local,Dustin Holmes DDS,Finalizado,Decorar,81
252,Enviar invitaciones,Stanley Ortiz,En proceso,Decorar,42
253,Enviar invitaciones,Theresa Maddox,En proceso,Reservar local,47
254,Enviar invitaciones,Maria Ware,Pendiente,Comprar materiales,78
255,Reservar local,Juan Carter,En proceso,Enviar invitaciones,46
256,Enviar invitaciones,Juan Allen,Pendiente,Enviar invitaciones,32
257,Comprar materiales,Connie Morris,Pendiente,Decorar,84
258,Reservar local,Jennifer Swanson,Pendiente,Ejecutar evento,57
259,Comprar materiales,Holly Reid,En proceso,Enviar invitaciones,67
260,Ejecutar evento,Daniel Powell,Pendiente,Ejecutar evento,15
261,Reservar local,James Wright,Finalizado,Decorar,36
262,Reservar local,Selena Cruz,Pendiente,Decorar,30
263,Ejecutar evento,Christopher Reed,Finalizado,Comprar materiales,35
264,Ejecutar evento,Joseph Warner,Pendiente,Enviar invitaciones,19
265,Ejecutar evento,April Kennedy,En proceso,Enviar invitaciones,75
266,Reservar local,Tiffany Kelly,Pendiente,Ejecutar evento,56
267,Enviar invitaciones,Karen Evans,Pendiente,Comprar materiales,29
268,Enviar invitaciones,Derrick Schneider,En proceso,Enviar invitaciones,56
269,Comprar materiales,Leslie Khan,En proceso,Enviar invitaciones,77
270,Ejecutar evento,Lisa Lee,En proceso,Comprar materiales,18
271,Decorar,Sydney Anderson,En proceso,Enviar invitaciones,88
272,Reservar local,Laura Miller,En proceso,Enviar invitaciones,52
273,Ejecutar evento,Samantha Brown,Pendiente,Comprar materiales,37
274,Enviar invitaciones,Laurie Soto,En proceso,Decorar,80
275,Enviar invitaciones,Joseph Morton,Finalizado,Ejecutar evento,89
276,Comprar materiales,Daniel Romero,En proceso,Enviar invitaciones,87
277,Decorar,Sarah Hopkins,En proceso,Ejecutar evento,46
278,Ejecutar evento,Erica Scott,En proceso,Ejecutar evento,60
279,Reservar local,Connie Martinez,Finalizado,Enviar invitaciones,56
280,Reservar local,Tara Wilson,Pendiente,Decorar,16
281,Enviar invitaciones,Laura Kelly,Pendiente,Enviar invitaciones,34
282,Enviar invitaciones,Justin Hampton,Pendiente,Reservar local,35
283,Ejecutar evento,Daniel Campbell,Pendiente,Enviar invitaciones,56
284,Comprar materiales,Joe Simpson,En proceso,Decorar,36
285,Decorar,Kristen Leon,En proceso,Decorar,57
286,Ejecutar evento,Ashley Underwood,En proceso,Reservar local,79
287,Decorar,Marc Davis,En proceso,Comprar materiales,75
288,Comprar materiales,Jacob Davis,Pendiente,Enviar invitaciones,72
289,Reservar local,Cameron Sullivan,Finalizado,Decorar,72
290,Reservar local,Elizabeth Bennett,Finalizado,Reservar local,15
291,Reservar local,Deborah Bender,En proceso,Ejecutar evento,31
292,Decorar,Lauren Vega,En proceso,Reservar local,86
293,Ejecutar evento,Robert Freeman,Finalizado,Ejecutar evento,52
294,Comprar materiales,Penny Barnes,En proceso,Enviar invitaciones,17
295,Ejecutar evento,Benjamin Smith,En proceso,Enviar invitaciones,65
296,Reservar local,Beth Wood,En proceso,Decorar,42
297,Enviar invitaciones,Brandon Hartman,En proceso,Comprar materiales,27
298,Comprar materiales,Eduardo Garcia,Pendiente,Decorar,21
299,Decorar,Justin Castillo,En proceso,Enviar invitaciones,43
300,Comprar materiales,Sean Wilson,Finalizado,Comprar materiales,48
301,Enviar invitaciones,Darren Wells,Pendiente,Enviar invitaciones,79
302,Comprar materiales,Kevin Donovan,Finalizado,Comprar materiales,15
303,Enviar invitaciones,Sherry Thompson,Pendiente,Decorar,29
304,Decorar,Ann Singleton,En proceso,Comprar materiales,47
305,Enviar invitaciones,Brian Gilbert,Finalizado,Enviar invitaciones,43
306,Decorar,Joanna Norris,Finalizado,Reservar local,78
307,Reservar local,Claudia Kirk,Finalizado,Comprar materiales,89
308,Ejecutar evento,Crystal Case,En proceso,Enviar invitaciones,60
309,Ejecutar evento,Joshua Reeves,En proceso,Decorar,34
310,Enviar invitaciones,Joshua Lynch,Finalizado,Comprar materiales,16
311,Comprar materiales,Brenda Johnston,Pendiente,Comprar materiales,85
312,Decorar,Christopher Knight,En proceso,Reservar local,22
313,Decorar,Alan Cardenas,En proceso,Ejecutar evento,34
314,Enviar invitaciones,Michelle Green,Finalizado,Ejecutar evento,81
315,Decorar,Nathaniel Herrera,En proceso,Comprar materiales,89
316,Comprar materiales,Andrea Williams,Pendiente,Decorar,62
317,Ejecutar evento,Veronica Pena,Finalizado,Comprar materiales,73
318,Enviar invitaciones,Benjamin Le,En proceso,Enviar invitaciones,22
319,Enviar invitaciones,Alexis Rodriguez,Pendiente,Ejecutar evento,55
320,Reservar local,Alexandra Harris,Pendiente,Ejecutar evento,85
321,Decorar,Monique Johnson,Finalizado,Comprar materiales,64
322,Reservar local,Roy Miller,Pendiente,Reservar local,24
323,Decorar,Daniel Bishop,En proceso,Reservar local,64
324,Comprar materiales,Donald Martin,En proceso,Reservar local,79
325,Decorar,Jeffrey Pugh,En proceso,Decorar,85
326,Enviar invitaciones,Carlos Mann,En proceso,Ejecutar evento,76
327,Enviar invitaciones,Ruth Martin,Finalizado,Enviar invitaciones,55
328,Decorar,Christine Lin,Finalizado,Comprar materiales,25
329,Decorar,Steve Zimmerman,Pendiente,Comprar materiales,37
330,Decorar,Jared Garcia,Finalizado,Reservar local,15
331,Enviar invitaciones,Andrew Koch,Pendiente,Ejecutar evento,54
332,Reservar local,Matthew Robinson,En proceso,Reservar local,62
333,Reservar local,Brian Cobb,Finalizado,Decorar,60
334,Enviar invitaciones,Janice Petty,Pendiente,Reservar local,56
335,Comprar materiales,Janice Wilkerson,Finalizado,Ejecutar evento,19
336,Reservar local,Diane Myers,En proceso,Decorar,80
337,Ejecutar evento,Bobby Salinas,Finalizado,Enviar invitaciones,45
338,Comprar materiales,Juan Fox,En proceso,Reservar local,72
339,Enviar invitaciones,Mark Wu,Pendiente,Decorar,19
340,Decorar,Christopher Thompson,Pendiente,Ejecutar evento,69
341,Reservar local,Courtney Cruz,En proceso,Comprar materiales,42
342,Enviar invitaciones,Jasmine Anderson,En proceso,Enviar invitaciones,63
343,Enviar invitaciones,Courtney Stephens,Finalizado,Reservar local,15
344,Comprar materiales,Barry Lawson,Pendiente,Decorar,33
345,Reservar local,Lisa Rodriguez,Pendiente,Reservar local,40
346,Ejecutar evento,Erica Ramos,En proceso,Decorar,78
347,Decorar,Mario Lopez,Finalizado,Comprar materiales,16
348,Reservar local,Patricia Levy,Pendiente,Comprar materiales,68
349,Decorar,Michael Gonzalez,En proceso,Enviar invitaciones,44
350,Comprar materiales,Daniel Phillips,En proceso,Enviar invitaciones,87
351,Enviar invitaciones,Pamela Jones,Finalizado,Comprar materiales,80
352,Ejecutar evento,Eddie Norris,En proceso,Reservar local,75
353,Decorar,Ashley Young,En proceso,Comprar materiales,83
354,Ejecutar evento,Caitlin Jackson,En proceso,Reservar local,40
355,Reservar local,Anthony King,En proceso,Comprar materiales,73
356,Decorar,Kimberly Allen,Finalizado,Enviar invitaciones,38
357,Decorar,James Vazquez,Finalizado,Decorar,69
358,Reservar local,Stephanie Melendez,Finalizado,Comprar materiales,27
359,Decorar,John Simpson,Pendiente,Enviar invitaciones,43
360,Reservar local,Dr. Vincent Jackson,Finalizado,Enviar invitaciones,35
361,Comprar materiales,Timothy Sims,Pendiente,Ejecutar evento,38
362,Ejecutar evento,Emily Fields,En proceso,Ejecutar evento,86
363,Ejecutar evento,Robert Ellison,Pendiente,Enviar invitaciones,43
364,Enviar invitaciones,John Young,Finalizado,Comprar materiales,59
365,Decorar,Catherine Payne,Pendiente,Ejecutar evento,61
366,Decorar,Kevin Wilson,Finalizado,Ejecutar evento,52
367,Enviar invitaciones,Stephanie Schmidt,Pendiente,Decorar,45
368,Enviar invitaciones,Nicole Todd DDS,Finalizado,Ejecutar evento,17
369,Decorar,Jeffrey Henry,En proceso,Reservar local,32
370,Comprar materiales,Mr. Jeremiah Palmer,Finalizado,Enviar invitaciones,52
371,Comprar materiales,Kevin Irwin,Pendiente,Ejecutar evento,25
372,Enviar invitaciones,Shannon West,Finalizado,Enviar invitaciones,61
373,Comprar materiales,Alex Anderson,En proceso,Decorar,29
374,Reservar local,Terri Navarro,Finalizado,Comprar materiales,31
375,Enviar invitaciones,Tyler Cooke,Pendiente,Reservar local,24
376,Comprar materiales,Gabriel Roberts,En proceso,Comprar materiales,66
377,Comprar materiales,Nicole Leonard,Pendiente,Enviar invitaciones,46
378,Decorar,Ryan Taylor,Finalizado,Enviar invitaciones,33
379,Ejecutar evento,Pamela Morgan,En proceso,Reservar local,31
380,Ejecutar evento,Jason Brown,Pendiente,Comprar materiales,16
381,Comprar materiales,Roy Ramirez,En proceso,Decorar,86
382,Enviar invitaciones,Kiara Rodriguez,En proceso,Reservar local,72
383,Ejecutar evento,John Young,Finalizado,Ejecutar evento,63
384,Enviar invitaciones,Michael Clarke,Finalizado,Ejecutar evento,72
385,Ejecutar evento,David Zamora,En proceso,Decorar,70
386,Reservar local,Terrence Figueroa,Pendiente,Comprar materiales,29
387,Ejecutar evento,Jordan Dunn,Pendiente,Ejecutar evento,59
388,Reservar local,Michael Vang,Pendiente,Reservar local,75
389,Comprar materiales,Sara Smith,En proceso,Reservar local,22
390,Decorar,Dr. Donna Kirk,En proceso,Comprar materiales,67
391,Enviar invitaciones,Jorge Murray,Finalizado,Comprar materiales,39
392,Comprar materiales,Larry Horton,Pendiente,Decorar,48
393,Comprar materiales,Alexis Martinez,En proceso,Enviar invitaciones,79
394,Ejecutar evento,Michael Cruz,Pendiente,Reservar local,74
395,Reservar local,Laura Ramos,Pendiente,Decorar,15
396,Ejecutar evento,Lisa Woods,Pendiente,Ejecutar evento,55
397,Decorar,Derek Quinn,En proceso,Ejecutar evento,26
398,Reservar local,Kimberly Ward,En proceso,Comprar materiales,23
399,Decorar,Alejandro Smith,En proceso,Reservar local,43
400,Ejecutar evento,Mark Morris,Finalizado,Reservar local,70
401,Ejecutar evento,Christopher Mcdonald,En proceso,Reservar local,67
402,Ejecutar evento,Kelly Evans,Finalizado,Reservar local,77
403,Ejecutar evento,Omar Nichols,Finalizado,Enviar invitaciones,78
404,Decorar,Suzanne Davis,En proceso,Enviar invitaciones,47
405,Reservar local,Susan Thomas,Finalizado,Comprar materiales,88
406,Comprar materiales,Luke Hoffman DVM,Pendiente,Enviar invitaciones,45
407,Comprar materiales,Teresa Peters,En proceso,Reservar local,79
408,Decorar,Brittany Perez,Pendiente,Decorar,58
409,Decorar,Nancy Arias,Pendiente,Comprar materiales,31
410,Enviar invitaciones,Susan Stout,Finalizado,Decorar,20
411,Ejecutar evento,Phillip Green,Pendiente,Comprar materiales,44
412,Enviar invitaciones,Juan Harrison,Pendiente,Reservar local,48
413,Reservar local,David Newman MD,Pendiente,Enviar invitaciones,76
414,Comprar materiales,Eric Aguilar,En proceso,Reservar local,63
415,Comprar materiales,Monica Prince,Pendiente,Enviar invitaciones,43
416,Enviar invitaciones,Jason Blankenship,Pendiente,Comprar materiales,87
417,Enviar invitaciones,Jasmine Hammond,Pendiente,Comprar materiales,41
